"ID";"global_id";"FullName";"ShortName";"INN";"OKPO";"AdmArea";"District";"Address";"Category";"Specialization";"OKVED";"OKVED_Description";"geoData";"geodata_center";
"18";"169195906";"Открытое акционерное общество «КАРАТ»";"ОАО «КАРАТ»";"7736042394";"27562252";"Северо-Восточный административный округ";"Бутырский район";"улица Руставели, дом 14, строение 11";"Пищевая промышленность";"Пищевая";"10.51";"Производство молока (кроме сырого) и молочной продукции";"{coordinates=[37.600575476, 55.813467373], type=Point}";"";
"19";"169195907";"Общество с ограниченной ответственностью «АЛЬТЕРВЕСТ XXI ВЕК»";"ООО «АЛЬТЕРВЕСТ XXI ВЕК»";"5030040240";"56870500";"Троицкий административный округ";"поселение Первомайское";"посёлок Первомайское, деревня Губцево, улица Дорожная, дом 1";"Пищевая промышленность";"Пищевая";"10.52";"Производство мороженого";"{coordinates=[37.161307995, 55.530947193], type=Point}";"";
"20";"169195908";"Акционерное общество «БРПИ»";"АО «БРПИ»";"7715057618";"3203689";"Северо-Восточный административный округ";"Бутырский район";"Огородный проезд, дом 16, строение 22";"Пищевая промышленность";"Пищевая";"10.52";"Производство мороженого";"{coordinates=[37.600161863, 55.815730375], type=Point}";"";
"21";"169195909";"Открытое акционерное общество «Мелькомбинат в Сокольниках»";"ОАО «Мелькомбинат в Сокольниках»";"7718018279";"5079029";"Восточный административный округ";"район Сокольники";"улица Жебрунова, дом 6, строение 1";"Пищевая промышленность";"Пищевая";"10.61.2";"Производство муки из зерновых культур";"{coordinates=[37.682209228, 55.784219323], type=Point}";"";
"22";"169195910";"Акционерное общество «МЕЛЬКОМБИНАТ №3»";"АО «МЕЛЬКОМБИНАТ №3»";"7714015735";"16981342";"Северный административный округ";"Хорошёвский район";"1-я Магистральная улица, дом 14, строение 1";"Пищевая промышленность";"Пищевая";"10.61.2";"Производство муки из зерновых культур";"{coordinates=[37.522645016, 55.770307676], type=Point}";"";
"23";"169195911";"Общество с ограниченной ответственностью «ПО АРС»";"ООО «ПО АРС»";"5035020695";"56823883";"Восточный административный округ";"район Перово";"Электродная улица, дом 10";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{coordinates=[37.754383793, 55.751141025], type=Point}";"";
"24";"169195912";"Открытое акционерное общество «Золоторожский хлеб»";"ОАО «Золоторожский хлеб»";"7722020143";"346052";"Юго-Восточный административный округ";"район Лефортово";"улица Золоторожский Вал, дом 6";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{coordinates=[37.68751384, 55.753076142], type=Point}";"";
"25";"169195913";"Закрытое акционерное общество «ХЛЕБОЗАВОД № 22»";"ЗАО «ХЛЕБОЗАВОД № 22»";"7731014604";"346170";"Западный административный округ";"район Кунцево";"улица Академика Павлова, дом 4";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{coordinates=[37.39342876, 55.737258799], type=Point}";"";
"26";"169195914";"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО «ОСТАНКИНСКИЙ ЗАВОД БАРАНОЧНЫХ ИЗДЕЛИЙ»";"ЗАО «ОЗБИ»";"7715087411";"346201";"Северо-Восточный административный округ";"Бутырский район";"Огородный проезд, дом 11";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{coordinates=[37.602701007, 55.812272133], type=Point}";"";
"27";"169195915";"Открытое акционерное общество «МОСКВОРЕЧЬЕ»";"ОАО «МОСКВОРЕЧЬЕ»";"7725037650";"346230";"Южный административный округ";"Даниловский район";"2-й Павелецкий проезд, дом 7";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{coordinates=[37.642878727, 55.712733588], type=Point}";"";
"28";"169195916";"Закрытое акционерное общество «Хлебозавод № 24»";"ЗАО « Хлебозавод № 24»";"7712022825";"1218638";"Северный административный округ";"район Сокол";"Светлый проезд, дом 2";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{coordinates=[37.489375037, 55.811864544], type=Point}";"";
"29";"169195917";"Открытое акционерное общество «ЧЕРКИЗОВО»";"ОАО «ЧЕРКИЗОВО»";"7718018230";"346247";"Восточный административный округ";"район Преображенское";"Большая Черкизовская улица, дом 32Б";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{coordinates=[37.741569912, 55.794473027], type=Point}";"";
"30";"169195918";"Открытое акционерное общество «ХЛЕБОКОМБИНАТ «ПРОЛЕТАРЕЦ»";"ОАО «ХЛЕБОКОМБИНАТ «ПРОЛЕТАРЕЦ»";"7723001680";"346268";"Юго-Восточный административный округ";"Южнопортовый район";"Новоостаповская улица, дом 12";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{coordinates=[37.670467781, 55.717742939], type=Point}";"";
"31";"169195919";"Открытое акционерное общество «КБК «ЧЕРЕМУШКИ»";"ОАО «КБК «ЧЕРЕМУШКИ»";"7728060368";"346075";"Юго-Западный административный округ";"район Выхино-Жулебино";"109377, г. Москва, ул. Академика Скрябина, д. 9 корп. 2";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{coordinates=[37.549036331, 55.659980827], type=Point}";"";
"32";"169195920";"Закрытое акционерное общество «Хлебозавод N18»";"ЗАО «Хлебозавод N18»";"7714008150";"17508576";"Северный административный округ";"район Аэропорт";"Часовая улица, дом 6, корпус 3, строение 3";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{coordinates=[37.536137265, 55.80872544], type=Point}";"";
"34";"169195922";"Открытое акционерное общество «ЯУЗА-ХЛЕБ»";"ОАО «ЯУЗА-ХЛЕБ»";"7716011052";"29499871";"Северо-Восточный административный округ";"район Ростокино";"проспект Мира, дом 220А";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{coordinates=[37.664843805, 55.839390615], type=Point}";"";
"35";"169195923";"Акционерное общество «ХЛЕБОЗАВОД №28»";"АО «ХЛЕБОЗАВОД №28»";"7735004068";"337722";"Зеленоградский административный округ";"район Силино";"124460, г. Москва, г. Зеленоград, пр-кт Генерала Алексеева, д. 44 стр. 1";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{coordinates=[37.162639548, 56.013123883], type=Point}";"";
"36";"169195924";"Общество с ограниченной ответственностью «ФИЛИ-БЕЙКЕР»";"ООО «ФИЛИ-БЕЙКЕР»";"7710209063";"18236097";"Западный административный округ";"район Филёвский Парк";"Береговой проезд, дом 4/6, строение 4";"Пищевая промышленность";"Пищевая";"10.8";"Производство прочих пищевых продуктов";"{coordinates=[37.506024132, 55.756812898], type=Point}";"";
"37";"169195925";"Закрытое акционерное общество БКК «Коломенский»";"ЗАО БКК «Коломенский»";"7724766868";"68861009";"Южный административный округ";"район Нагатино-Садовники";"Хлебозаводский проезд, дом 7";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{coordinates=[37.631578149, 55.669332564], type=Point}";"";
"38";"169195926";"Закрытое акционерное общество «ХЛЕБОКОМБИНАТ «ПЕКО»";"ЗАО «ХЛЕБОКОМБИНАТ «ПЕКО»";"7715112530";"5109322";"Северо-Восточный административный округ";"район Северное Медведково";"Полярная улица, дом 29, строение 1";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{coordinates=[37.641368452, 55.885089461], type=Point}";"";
"40";"169195928";"Закрытое акционерное общество «КМКИ «Добрынинский»";"ЗАО «КМКИ «Добрынинский»";"7718681817";"84137980";"Восточный административный округ";"район Преображенское";"Электрозаводская улица, дом 27, строение 1";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"{coordinates=[37.706897748, 55.790743419], type=Point}";"";
"41";"169195929";"Акционерное общество «ФАБРИКА «РУССКИЙ ШОКОЛАД»";"АО «ФАБРИКА «РУССКИЙ ШОКОЛАД»";"7710664778";"99608356";"Западный административный округ";"Можайский район";"Верейская улица, дом 29, строение 143";"Пищевая промышленность";"Пищевая";"10.82";"Производство какао, шоколада и сахаристых кондитерских изделий";"{coordinates=[37.434032645, 55.708037694], type=Point}";"";
"42";"169195930";"Открытое акционерное общество «КОНДИТЕРСКИЙ КОНЦЕРН БАБАЕВСКИЙ»";"ОАО «КОНДИТЕРСКИЙ КОНЦЕРН БАБАЕВСКИЙ»";"7708029391";"340658";"Центральный административный округ";"Красносельский район";"Малая Красносельская улица, дом 7, строение 2А";"Пищевая промышленность";"Пищевая";"10.82";"Производство какао, шоколада и сахаристых кондитерских изделий";"{coordinates=[37.65642061, 55.787021666], type=Point}";"";
"43";"169195931";"Публичное акционерное общество «КРАСНЫЙ ОКТЯБРЬ»";"ПАО «КРАСНЫЙ ОКТЯБРЬ»";"7706043263";"340635";"Центральный административный округ";"Красносельский район";"107140, г. Москва, ул. Малая Красносельская, д. 7 стр. 24";"Пищевая промышленность";"Пищевая";"10.82";"Производство какао, шоколада и сахаристых кондитерских изделий";"{coordinates=[37.608839005, 55.74018108], type=Point}";"";
"90";"169195932";"Общество с ограниченной ответственностью «Эль Пако»";"ООО «Эль Пако»";"7707505055";"71620226";"Юго-Западный административный округ";"Обручевский район";"Профсоюзная улица, дом 82";"Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность";"Целлюлозно-бумажная";"17.21";"Производство гофрированной бумаги и картона, бумажной и картонной тары";"{coordinates=[37.538899587, 55.657430334], type=Point}";"";
"91";"169195933";"Общество с ограниченной ответственностью «ПОЛИГРАФИКА»";"ООО «ПОЛИГРАФИКА»";"7736168220";"46417544";"Юго-Восточный административный округ";"Рязанский район";"2-й Грайвороновский проезд, дом 40А, строение 5";"Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность";"Целлюлозно-бумажная";"17.23";"Производство бумажных канцелярских принадлежностей";"{coordinates=[37.742202007, 55.722955324], type=Point}";"";
"92";"169195934";"Общество с ограниченной ответственностью «ХАТБЕР-М»";"ООО «ХАТБЕР-М»";"7709268931";"49925672";"Южный административный округ";"район Чертаново Центральное";"улица Подольских Курсантов, дом 3, строение 2";"Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность";"Целлюлозно-бумажная";"17.23";"Производство бумажных канцелярских принадлежностей";"{coordinates=[37.615135237, 55.612854078], type=Point}";"";
"93";"169195935";"Общество с ограниченной ответственностью МПФ «СОЮЗПАК»";"ООО МПФ «СОЮЗПАК»";"7709206212";"45077247";"Новомосковский административный округ";"поселение Марушкинское";"п. Марушкинское, пос. совхоза Крекшино, ул. Южная, стр. 33.";"Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность";"Целлюлозно-бумажная";"17.22";"Производство бумажных изделий хозяйственно-бытового и санитарно-гигиенического назначения";"{coordinates=[37.107539462, 55.593556724], type=Point}";"";
"94";"169195936";"Общество с ограниченной ответственностью «Юнайтед Пресс»";"ООО «Юнайтед Пресс»";"7712110285";"51298350";"Северо-Восточный административный округ";"район Марьина Роща";"Полковая улица, дом 3, строение 1";"Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность";"Издательство";"18.11";"Печатание газет";"{coordinates=[37.604643194, 55.798296485], type=Point}";"";
"95";"169195937";"Акционерное общество «ИЗДАТЕЛЬСТВО «ПРОСВЕЩЕНИЕ»";"АО «ИЗДАТЕЛЬСТВО «ПРОСВЕЩЕНИЕ»";"7715995942";"29194516";"Северо-Восточный административный округ";"район Марьина Роща";"3-й проезд Марьиной Рощи, дом 41";"Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность";"Издательство";"58.11.1";"Издание книг, брошюр, рекламных буклетов и аналогичных изданий, включая издание словарей и энциклопедий, в том числе для слепых, в печатном виде";"{coordinates=[37.611038144, 55.795888745], type=Point}";"";
"96";"169195938";"Акционерное общество «Издательство «Детская литература»";"АО «Издательство «Детская литература»";"7715608368";"2445812";"Северный административный округ";"район Аэропорт";"улица Черняховского, дом 5";"Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность";"Издательство";"58.11";"Издание книг";"{coordinates=[37.532408365, 55.803179648], type=Point}";"";
"98";"169195940";"ИЗДАТЕЛЬСТВО «ЮРИДИЧЕСКАЯ ЛИТЕРАТУРА»";"ИЗДАТЕЛЬСТВО «ЮРИДИЧЕСКАЯ ЛИТЕРАТУРА»";"7703013158";"2425494";"Центральный административный округ";"Пресненский район";"Малая Никитская улица, дом 19";"Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность";"Издательство";"58.14";"Издание журналов и периодических изданий";"{coordinates=[37.590717078, 55.758416725], type=Point}";"";
"99";"169195941";"Общество с ограниченной ответственностью «АКТИОН-ПРЕСС»";"ООО «АКТИОН-ПРЕСС»";"7702272022";"51270149";"Северный административный округ";"Тимирязевский район";"Локомотивный проезд, дом 21А";"Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность";"Издательство";"58.14";"Издание журналов и периодических изданий";"{coordinates=[37.572883511, 55.845198366], type=Point}";"";
"100";"169195942";"Общество с ограниченной ответственностью «ИЗДАТЕЛЬСТВО «ЭКСМО»";"ООО «ИЗДАТЕЛЬСТВО «ЭКСМО»";"7708188426";"58058553";"Северный административный округ";"Хорошёвский район";"улица Зорге, дом 1";"Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность";"Издательство";"58.11";"Издание книг";"{coordinates=[37.512310122, 55.778681715], type=Point}";"";
"44";"169195950";"Открытое акционерное общество «РОТ ФРОНТ»";"ОАО «РОТ ФРОНТ»";"7705033216";"340664";"Центральный административный округ";"район Замоскворечье";"2-й Новокузнецкий переулок, дом 13/15";"Пищевая промышленность";"Пищевая";"10.82";"Производство какао, шоколада и сахаристых кондитерских изделий";"{coordinates=[37.631878862, 55.733975309], type=Point}";"";
"45";"169195951";"Акционерное общество «УДАРНИЦА»";"АО «УДАРНИЦА»";"7706042326";"340670";"Центральный административный округ";"район Якиманка";"улица Шаболовка, дом 13";"Пищевая промышленность";"Пищевая";"10.82";"Производство какао, шоколада и сахаристых кондитерских изделий";"{coordinates=[37.612175799, 55.724850338], type=Point}";"";
"46";"169195952";"Открытое акционерное общество «ЭКСТРА М»";"ОАО «ЭКСТРА М»";"7718083616";"17613675";"Восточный административный округ";"район Сокольники";"3-я Рыбинская улица, дом 22, строение 1";"Пищевая промышленность";"Пищевая";"10.73.1";"Производство макаронных изделий";"{coordinates=[37.660986281, 55.78937192], type=Point}";"";
"47";"169195953";"Публичное акционерное общество «РУССКИЙ ПРОДУКТ»";"ПАО «РУССКИЙ ПРОДУКТ»";"7718117872";"44418433";"Восточный административный округ";"район Метрогородок";"Пермская улица, дом 1, строение 1";"Пищевая промышленность";"Пищевая";"10.89";"Производство прочих пищевых продуктов, не включенных в другие группировки";"{coordinates=[37.748432052, 55.820950595], type=Point}";"";
"49";"169195955";"Общество с ограниченной ответственностью «МЧФ»";"ООО «МЧФ»";"7722146516";"18406694";"Юго-Восточный административный округ";"район Лефортово";"ул. Боровая, д. 3";"Пищевая промышленность";"Пищевая";"10.83";"Производство чая и кофе";"{coordinates=[37.712969857, 55.773493272], type=Point}";"";
"50";"169195956";"Общество с ограниченной ответственностью «КОМПАНИЯ СКИТ»";"ООО «КОМПАНИЯ СКИТ»";"7726223190";"44997247";"Южный административный округ";"район Царицыно";"Кавказский бульвар, дом 59, строение 2";"Пищевая промышленность";"Пищевая";"10.84";"Производство приправ и пряностей";"{coordinates=[37.630113197, 55.627281383], type=Point}";"";
"51";"169195957";"Закрытое акционерное общество «ДЖЕКС»";"ЗАО «ДЖЕКС»";"7729064887";"29024398";"Юго-Восточный административный округ";"Нижегородский район";"1-я Фрезерная улица, дом 2/1, строение 10";"Пищевая промышленность";"Пищевая";"56.29";"Деятельность предприятий общественного питания по прочим видам организации питания";"{coordinates=[37.738259196, 55.744020874], type=Point}";"";
"52";"169195958";"Общество с ограниченной ответственностью «ЛЕОВИТ НУТРИО»";"ООО «ЛЕОВИТ НУТРИО»";"7713204095";"49947596";"Северо-Восточный административный округ";"район Отрадное";"Поморская улица, дом 33";"Пищевая промышленность";"Пищевая";"10.85";"Производство готовых пищевых продуктов и блюд";"{coordinates=[37.575929922, 55.869998286], type=Point}";"";
"53";"169195959";"Акционерное общество «МОСАЗЕРВИНЗАВОД»";"АО «МОСАЗЕРВИНЗАВОД»";"7701003490";"5109457";"Юго-Восточный административный округ";"район Печатники";"115088, г. Москва,, ул. Южнопортовая, д. 30 стр. 1";"Пищевая промышленность";"Пищевая";"11.01.1";"Производство дистиллированных питьевых алкогольных напитков: водки, виски, бренди, джина, ликеров и т. п.";"{coordinates=[37.648389944, 55.761640093], type=Point}";"";
"54";"169195960";"Открытое акционерное общество «ОЗН»";"ОАО «ОЗН»";"7715094708";"341988";"Северо-Восточный административный округ";"Бутырский район";"улица Добролюбова, дом 8А, строение 1";"Пищевая промышленность";"Пищевая";"11.07";"Производство безалкогольных напитков; производство минеральных вод и прочих питьевых вод в бутылках";"{coordinates=[37.598721425, 55.810613134], type=Point}";"";
"55";"169195961";"Акционерное общество «МВКЗ «КИН»";"АО «МВКЗ «КИН»";"7712024477";"5209957";"Северный административный округ";"район Левобережный";"Ленинградское шоссе, дом 67";"Пищевая промышленность";"Пищевая";"11.01.1";"Производство дистиллированных питьевых алкогольных напитков: водки, виски, бренди, джина, ликеров и т. п.";"{coordinates=[37.459591148, 55.868332064], type=Point}";"";
"56";"169195962";"Открытое акционерное общество «МКШВ»";"ОАО «МКШВ»";"7729007350";"5324693";"Западный административный округ";"район Очаково-Матвеевское";"Рябиновая улица, дом 44";"Пищевая промышленность";"Пищевая";"11.02";"Производство вина из винограда";"{coordinates=[37.43505657, 55.674545789], type=Point}";"";
"57";"169195963";"Закрытое акционерное общество МПБК «ОЧАКОВО»";"ЗАО МПБК «ОЧАКОВО»";"7729101200";"5230650";"Западный административный округ";"район Очаково-Матвеевское";"Рябиновая улица, дом 44";"Пищевая промышленность";"Пищевая";"11.05";"Производство пива";"{coordinates=[37.43505657, 55.674545789], type=Point}";"";
"58";"169195964";"Общество с ограниченной ответственностью «КОКА-КОЛА ЭЙЧБИСИ ЕВРАЗИЯ» ФЛ Г МОСКВА";"ООО «КОКА-КОЛА ЭЙЧБИСИ ЕВРАЗИЯ» ФЛ Г МОСКВА";"7701215046";"58662125";"Западный административный округ";"район Ново-Переделкино";"Новоорловская улица, дом 7";"Пищевая промышленность";"Пищевая";"11.07.2";"Производство безалкогольных напитков ароматизированных и/или с добавлением сахара, кроме минеральных вод";"{coordinates=[37.36300547, 55.633206028], type=Point}";"";
"60";"169195966";"Акционерное общество «Троицкая камвольная фабрика»";"АО «Троицкая камвольная фабрика»";"5046005770";"322092";"Троицкий административный округ";"поселение Троицк";"город Троицк, Фабричная площадь, дом 1";"Легкая промышленность";"Текстильная";"13.10.3";"Прядение гребенное шерстяных волокон";"{coordinates=[37.301634839, 55.490066486], type=Point}";"";
"61";"169195967";"Открытое акционерное общество «МШФ»";"ОАО «МШФ»";"7719034650";"320609";"Восточный административный округ";"район Соколиная Гора";"Малая Семёновская улица, дом 28";"Легкая промышленность";"Текстильная";"13.10.3";"Прядение гребенное шерстяных волокон";"{coordinates=[37.715843604, 55.784960189], type=Point}";"";
"63";"169195969";"Акционерное общество «ФОРТ ТЕХНОЛОГИЯ»";"АО «ФОРТ ТЕХНОЛОГИЯ»";"7710060720";"29928332";"Южный административный округ";"Донской район";"Варшавское шоссе, дом 1";"Легкая промышленность";"Текстильная";"13.92";"Производство готовых текстильных изделий, кроме одежды";"{coordinates=[37.623348266, 55.70312064], type=Point}";"";
"64";"169195970";"ООО ""Нетканые материалы""";"ЗАО «РЕГЕНТ НМ»";"7751017353";"54788148";"Троицкий административный округ";"поселение Роговское";"142191, г Москва, г Троицк, 
ул Нагорная, 5 ";"Легкая промышленность";"Текстильная";"13.95";"Производство нетканых текстильных материалов и изделий из них, кроме одежды";"{coordinates=[37.070533654, 55.211995398], type=Point}";"";
"65";"169195971";"Общество с ограниченной ответственностью «Термопол»";"ООО «Термопол»";"7729505595";"72922610";"Западный административный округ";"район Очаково-Матвеевское";"Рябиновая улица, дом 43А";"Легкая промышленность";"Текстильная";"13.95";"Производство нетканых текстильных материалов и изделий из них, кроме одежды";"{coordinates=[37.425309462, 55.69998066], type=Point}";"";
